,gene_id,normalized_counts,Mass
58,MYCTH_2135152,7536.568906999999,63477
59,MYCTH_2294414,7719.420083,33622
60,MYCTH_2313331,7839.691656999999,71294
61,MYCTH_2299031,7957.864251999999,91862
62,MYCTH_108157,7968.659008,65473
63,MYCTH_2314160,7994.116641,69697
64,MYCTH_2302773,8096.846737000001,31369
65,MYCTH_2300156,8110.250226,86090
66,MYCTH_2299183,8113.908449,93846
67,MYCTH_2302045,8135.647889,92635
68,MYCTH_39694,8211.870861,30175
69,MYCTH_2298464,8280.417562999999,17943
70,MYCTH_2295283,8363.986967,118042
71,MYCTH_10995,8560.18166,56141
72,MYCTH_2299988,8608.997946,56288
73,MYCTH_2310192,8617.813662999999,49253
74,MYCTH_2307981,8703.062252,29096
75,MYCTH_2294471,8833.708787,19544
76,MYCTH_2093808,8952.211221,38607
77,MYCTH_2305317,9024.506102,109261
78,MYCTH_2311869,9086.396037,35890
79,MYCTH_2314150,9088.165178,27108
80,MYCTH_2314374,9098.869977,26751
81,MYCTH_2308666,9145.947108,109132
82,MYCTH_2302675,9164.448121,42690
83,MYCTH_2303134,9219.02161,81409
84,MYCTH_2311786,9361.422434999999,48748
85,MYCTH_2308740,9405.321109999999,96878
86,MYCTH_2301126,9497.406377,100536
87,MYCTH_60661,9529.310879,44714
88,MYCTH_2312054,9599.686692,26490
89,MYCTH_2299642,9631.321325,39600
90,MYCTH_117620,9652.760909999999,26822
91,MYCTH_2294730,9757.260145999999,73653
92,MYCTH_2312480,9886.197512,291754
93,MYCTH_2120854,9897.50202,44352
94,MYCTH_2304287,10003.41057,37976
95,MYCTH_2312083,10034.2356,49421
96,MYCTH_2307600,10042.0618,57013
97,MYCTH_2309153,10078.104290000001,143038
98,MYCTH_2311850,10078.82394,59201
99,MYCTH_2301513,10100.47342,25455
100,MYCTH_2308073,10180.41459,38668
101,MYCTH_2123079,10221.31472,61574
102,MYCTH_2309831,10242.334509999999,67577
103,MYCTH_2294392,10288.18224,90909
104,MYCTH_2299254,10305.21396,46628
105,MYCTH_2294761,10436.16035,133863
106,MYCTH_2303817,10490.10415,26715
107,MYCTH_2296788,10578.86103,64304
108,MYCTH_2312685,10604.34865,41939
109,MYCTH_2308030,10638.8319,89654
110,MYCTH_106463,10641.83044,82436
111,MYCTH_2142157,10869.62978,84189
112,MYCTH_2300740,10980.875740000001,38492
113,MYCTH_2305076,11048.94268,14750
114,MYCTH_2295038,11057.81837,51710
115,MYCTH_2294138,11093.171190000001,27180
116,MYCTH_2305170,11141.41775,34186
117,MYCTH_2303672,11142.52722,159281
118,MYCTH_2307289,11169.90392,62683
119,MYCTH_2295635,11176.14089,28195
120,MYCTH_2302174,11242.43868,20890
121,MYCTH_2294760,11263.938240000001,77567
122,MYCTH_2309110,11316.2928,67355
123,MYCTH_2301729,11328.49688,46028
124,MYCTH_2299569,11339.1417,38992
125,MYCTH_2301813,11357.132959999999,26155
126,MYCTH_2300006,11446.03978,37478
127,MYCTH_54923,11549.90932,99637
128,MYCTH_2295881,11645.263,40198
129,MYCTH_2300848,11696.178259999999,60522
130,MYCTH_2301280,11718.66734,73586
131,MYCTH_2294293,11821.72728,54410
132,MYCTH_2298655,11880.70862,52184
133,MYCTH_2306522,11965.957209999999,62074
134,MYCTH_2299985,11969.43552,6930
135,MYCTH_2297813,12002.4195,196348
136,MYCTH_2297932,12024.158940000001,10838
137,MYCTH_2135257,12086.52864,174879
138,MYCTH_2132486,12146.25963,37265
139,MYCTH_2311333,12210.06863,30011
140,MYCTH_2304940,12339.005990000001,106905
141,MYCTH_78432,12413.699709999999,90379
142,MYCTH_113239,12452.950640000001,43995
143,MYCTH_2306835,12504.37566,11212
144,MYCTH_2311397,12527.91423,86751
145,MYCTH_2310607,12596.550879999999,115141
146,MYCTH_2297571,12625.097020000001,52721
147,MYCTH_2122256,12782.10075,23183
148,MYCTH_2311330,12823.450659999999,49744
149,MYCTH_2311164,12869.02852,34621
150,MYCTH_2311548,12919.46402,78239
151,MYCTH_2309828,13094.78885,126642
152,MYCTH_74015,13145.67413,30526
153,MYCTH_2303507,13254.251390000001,81690
154,MYCTH_2300575,13269.48399,60047
155,MYCTH_2295250,13289.48427,51312
156,MYCTH_2311689,13304.11716,150792
157,MYCTH_2304999,13346.876390000001,82641
158,MYCTH_2298505,13522.32117,32781
159,MYCTH_2118116,13535.874580000002,79826
160,MYCTH_19035,13549.278069999998,108607
161,MYCTH_2305288,13571.01751,169772
162,MYCTH_2298341,13586.460009999999,72501
163,MYCTH_2304947,13750.990080000001,45630
164,MYCTH_2300408,13773.65907,27050
165,MYCTH_2302897,13927.184490000001,59952
166,MYCTH_2299137,13936.270080000002,39792
167,MYCTH_2295764,13944.72597,53659
168,MYCTH_2307666,13996.30092,55201
169,MYCTH_2308446,14035.58184,42508
170,MYCTH_2302980,14107.81675,141712
171,MYCTH_2298035,14109.5559,14543
172,MYCTH_37947,14116.03275,39658
173,MYCTH_2118610,14316.33545,152641
174,MYCTH_2296350,14336.48566,192814
175,MYCTH_2298421,14523.68473,60337
176,MYCTH_2309927,14574.300140000001,115535
177,MYCTH_2314749,14615.65005,23370
178,MYCTH_2294039,14680.628490000001,119461
179,MYCTH_2305846,14682.217709999999,50235
180,MYCTH_2314567,14739.399940000001,40725
181,MYCTH_2293982,14776.01215,108121
182,MYCTH_2305515,14821.14023,208695
183,MYCTH_2298248,14857.782430000001,46508
184,MYCTH_2306255,14857.782430000001,14519
185,MYCTH_2308790,14917.7533,44822
186,MYCTH_2300608,14923.750380000001,40643
187,MYCTH_2311160,15088.670269999999,40518
188,MYCTH_2142789,15112.028919999999,36753
189,MYCTH_2127963,15203.36455,54881
190,MYCTH_110317,15215.71855,34694
191,MYCTH_2295952,15274.37006,192864
192,MYCTH_2297796,15355.540630000001,74421
193,MYCTH_2304190,15371.942659999999,134127
194,MYCTH_2294343,15377.370030000002,119004
195,MYCTH_2302738,15419.739440000001,71469
196,MYCTH_2300674,15448.8553,56927
197,MYCTH_2301905,15484.65791,38686
198,MYCTH_2298626,15595.154230000002,29527
199,MYCTH_2306532,15631.55655,97738
200,MYCTH_2304388,15660.49249,47916
201,MYCTH_2298813,15746.3108,117474
202,MYCTH_2310832,15810.719509999999,33402
203,MYCTH_2311673,16028.803569999998,87124
204,MYCTH_2300889,16073.33194,76723
205,MYCTH_2309725,16090.18376,44503
206,MYCTH_2297465,16117.920280000002,108327
207,MYCTH_2307312,16233.304230000002,30639
208,MYCTH_2295109,16266.288209999999,138129
209,MYCTH_2308828,16276.753130000001,48820
210,MYCTH_2296711,16294.5045,138835
211,MYCTH_2302034,16345.5697,45048
212,MYCTH_2137832,16381.43228,20815
213,MYCTH_117625,16425.810719999998,61146
214,MYCTH_2132225,16481.31376,34198
215,MYCTH_2092357,16485.99148,65003
216,MYCTH_2300427,16520.26483,77125
217,MYCTH_2295707,16560.20543,19613
218,MYCTH_2305158,16605.87325,147719
219,MYCTH_2305149,16615.8584,68159
220,MYCTH_2301508,16735.35035,77977
221,MYCTH_2306290,16746.32502,209375
222,MYCTH_2295633,16800.83854,63386
223,MYCTH_43573,16805.09647,84970
224,MYCTH_2297826,16817.69035,15313
225,MYCTH_2302752,16838.41029,29895
226,MYCTH_2302191,16851.90373,51330
227,MYCTH_101105,16865.03735,89430
228,MYCTH_2300651,16924.52845,34414
229,MYCTH_2312176,17099.46347,19008
230,MYCTH_2307166,17165.25151,122270
231,MYCTH_2299698,17203.54291,27499
232,MYCTH_2298478,17247.6215,23409
233,MYCTH_2312849,17258.38627,49629
234,MYCTH_2308489,17362.58565,38841
235,MYCTH_2303933,17369.57226,31053
236,MYCTH_2311077,17383.245619999998,55224
237,MYCTH_2297768,17446.87471,51098
238,MYCTH_2311300,17457.00978,36198
239,MYCTH_2294252,17478.95912,71366
240,MYCTH_2313564,17496.5006,38441
241,MYCTH_2302094,17586.99664,38383
242,MYCTH_2295898,17612.844080000003,79610
243,MYCTH_2296084,17713.80504,49050
244,MYCTH_2306085,17758.87315,38803
245,MYCTH_2301098,17843.79189,26669
246,MYCTH_2297808,17918.695509999998,78037
247,MYCTH_2312770,18111.771719999997,39696
248,MYCTH_2294706,18132.1918,156363
249,MYCTH_112805,18144.66574,253844
250,MYCTH_114482,18189.254080000002,56407
251,MYCTH_2296676,18604.28247,49279
252,MYCTH_2307442,18631.53922,144297
253,MYCTH_2301080,18632.58872,30271
254,MYCTH_2313023,18636.27692,6981
255,MYCTH_2307212,18666.41228,76797
256,MYCTH_2311660,18674.65828,122162
257,MYCTH_2315372,18905.81599,39585
258,MYCTH_2300639,18957.96066,110430
259,MYCTH_2302206,18988.575780000003,76365
260,MYCTH_2295135,19007.106780000002,48667
261,MYCTH_2298375,19023.35889,17946
262,MYCTH_2300093,19099.7018,84250
263,MYCTH_2308951,19276.9457,9661
264,MYCTH_2299299,19405.4033,16949
265,MYCTH_2309107,19544.3558,55934
266,MYCTH_2308345,19790.32631,82675
267,MYCTH_2300655,19851.01683,86745
268,MYCTH_2308439,20011.258990000002,60504
269,MYCTH_2314369,20096.237709999998,15332
270,MYCTH_2311735,20111.8901,68570
271,MYCTH_2299373,20144.30436,59338
272,MYCTH_2301639,20191.5614,43063
273,MYCTH_2310162,20367.605880000003,492450
274,MYCTH_2106971,20498.762169999998,19558
275,MYCTH_2306802,20649.768819999998,21037
276,MYCTH_2312532,20752.94869,81293
277,MYCTH_2304087,20969.443519999997,23562
278,MYCTH_2311356,21031.78324,30991
279,MYCTH_2314005,21036.940740000002,15210
280,MYCTH_2303595,21090.04494,66267
281,MYCTH_2308099,21123.44871,29423
282,MYCTH_2089248,21131.18495,21931
283,MYCTH_2088816,21219.1922,83544
284,MYCTH_2316157,21265.459730000002,31355
285,MYCTH_2302719,21332.866980000003,18229
286,MYCTH_2313207,21575.89892,65412
287,MYCTH_2302257,21589.54229,69948
288,MYCTH_2049620,21611.67154,110775
289,MYCTH_2297296,21697.45987,35727
290,MYCTH_2314205,21701.38796,22836
291,MYCTH_2116851,21773.832769999997,33272
292,MYCTH_2297436,21777.85082,46845
293,MYCTH_2141696,21781.20919,13396
294,MYCTH_38939,21923.370130000003,33952
295,MYCTH_2303534,21930.89647,33959
296,MYCTH_2315637,21932.12588,9963
297,MYCTH_2296410,22035.99542,70834
298,MYCTH_2307570,22037.554659999998,143501
299,MYCTH_2296525,22152.518809999998,63527
300,MYCTH_2304915,22156.926669999997,79828
301,MYCTH_2304585,22177.49668,112515
302,MYCTH_2299167,22210.060859999998,104052
303,MYCTH_74772,22239.056780000003,52373
304,MYCTH_2295934,22284.18485,92350
305,MYCTH_55542,22450.0043,48059
306,MYCTH_2135843,22496.93151,31196
307,MYCTH_78119,22607.637730000002,62077
308,MYCTH_2116960,22681.55182,44350
309,MYCTH_2302605,22728.95879,183730
310,MYCTH_112411,22779.87406,30582
311,MYCTH_2312847,22921.19541,92056
312,MYCTH_2300970,22932.58987,63401
313,MYCTH_2295930,22939.45654,20675
314,MYCTH_2301927,22963.444880000003,34011
315,MYCTH_2093728,22965.843719999997,79807
316,MYCTH_2303275,22999.21751,70515
317,MYCTH_105063,23040.86727,45619
318,MYCTH_76163,23065.45533,63142
319,MYCTH_20364,23074.21108,79395
320,MYCTH_2306276,23090.73305,99715
321,MYCTH_2301456,23144.37699,121847
322,MYCTH_2303431,23185.03724,274860
323,MYCTH_2305213,23335.62409,40368
324,MYCTH_2306954,23354.065130000003,35731
325,MYCTH_2299291,23455.745740000002,53524
326,MYCTH_2310737,23512.14834,18881
327,MYCTH_2303498,23576.52706,150326
328,MYCTH_2312329,23612.02982,76780
329,MYCTH_2301841,23713.83036,199628
330,MYCTH_2314338,23822.88739,14137
331,MYCTH_2296599,23962.2297,77178
332,MYCTH_2133010,24029.42705,46379
333,MYCTH_2311951,24104.36065,8880
334,MYCTH_2302765,24221.99351,58797
335,MYCTH_2305132,24343.01472,52780
336,MYCTH_2294261,24397.16841,10656
337,MYCTH_2296162,24685.8082,21192
338,MYCTH_2303810,24770.42709,48148
339,MYCTH_2309314,24845.180780000002,42532
340,MYCTH_2296969,24971.59937,36905
341,MYCTH_2308558,25055.67853,74156
342,MYCTH_2303693,25079.397,34944
343,MYCTH_2304613,25107.79321,93656
344,MYCTH_2308852,25111.90121,36046
345,MYCTH_2299042,25122.09626,47356
346,MYCTH_2313324,25123.38563,9512
347,MYCTH_2308831,25233.82199,56203
348,MYCTH_2299308,25252.35299,101505
349,MYCTH_2297048,25380.18089,63409
350,MYCTH_2308952,25421.83066,114544
351,MYCTH_2309086,25447.13836,25502
352,MYCTH_115909,25500.962219999998,165469
353,MYCTH_2306143,25639.045140000002,97463
354,MYCTH_2298183,25964.02727,31713
355,MYCTH_2296918,26025.43744,17123
356,MYCTH_2306978,26052.42433,40842
357,MYCTH_2303296,26088.136980000003,54269
358,MYCTH_2309794,26202.05164,30994
359,MYCTH_2309706,26259.323819999998,44399
360,MYCTH_2308517,26578.93856,54038
361,MYCTH_2294324,26707.726000000002,66125
362,MYCTH_2297359,26727.51638,12737
363,MYCTH_2299204,26727.9062,30664
364,MYCTH_2298921,26751.864559999998,108890
365,MYCTH_2306610,26767.96673,41949
366,MYCTH_2294962,27109.86065,26112
367,MYCTH_2299040,27287.584319999998,25573
368,MYCTH_2114693,27311.422739999998,28607
369,MYCTH_2298163,27412.653560000002,47521
370,MYCTH_40668,27530.916110000002,82505
371,MYCTH_2311384,27555.62411,88312
372,MYCTH_2297367,27564.4998,52035
373,MYCTH_80987,27582.790910000003,55481
374,MYCTH_2313457,27585.609539999998,43442
375,MYCTH_2306931,27777.936110000002,69958
376,MYCTH_2300313,27801.08487,49614
377,MYCTH_2300461,27824.38355,81605
378,MYCTH_2294418,27847.32241,30175
379,MYCTH_2311881,27923.33548,92170
380,MYCTH_2301802,27999.40853,37651
381,MYCTH_110475,28003.726430000002,47057
382,MYCTH_55928,28228.04746,8667
383,MYCTH_2304984,28253.74498,83924
384,MYCTH_2302591,28264.26987,42392
385,MYCTH_2302259,28318.84335,105379
386,MYCTH_2305742,28345.9202,43523
387,MYCTH_2298981,28354.855860000003,31793
388,MYCTH_2097810,28443.64273,17674
389,MYCTH_2300787,28561.51547,20003
390,MYCTH_2309965,28719.29882,87148
391,MYCTH_2311306,28734.29154,92874
392,MYCTH_2314770,28919.451589999997,26761
393,MYCTH_2311706,29093.24717,80478
394,MYCTH_2296263,29143.47277,24752
395,MYCTH_113236,29200.11525,33320
396,MYCTH_2294631,29316.27882,74146
397,MYCTH_2038387,29350.852030000002,22099
398,MYCTH_2295436,29404.49597,29192
399,MYCTH_2304512,29514.75241,64971
400,MYCTH_2301308,29533.073510000002,87990
401,MYCTH_2304292,29562.968989999998,150713
402,MYCTH_107134,29614.54393,56047
403,MYCTH_2301807,29757.0647,64764
404,MYCTH_2304703,29761.83238,37296
405,MYCTH_2302339,29795.955810000003,43660
406,MYCTH_2312055,29847.890580000003,40380
407,MYCTH_2302123,29965.43348,87036
408,MYCTH_2295812,30006.72342,41932
409,MYCTH_81343,30141.35802,56471
410,MYCTH_2312689,30256.202230000003,39708
411,MYCTH_2306868,30267.89655,89618
412,MYCTH_2309017,30363.849939999996,68481
413,MYCTH_2294970,30413.625760000003,969853
414,MYCTH_2078031,30461.60245,33325
415,MYCTH_2095744,30469.698519999998,13994
416,MYCTH_2312860,30477.794589999998,111833
417,MYCTH_66022,30496.98526,56929
418,MYCTH_2300162,30505.98089,39985
419,MYCTH_104076,30699.386939999997,76182
420,MYCTH_2306297,30732.370919999998,154868
421,MYCTH_108504,30742.86582,108890
422,MYCTH_2295767,30788.593610000004,134218
423,MYCTH_2074876,30792.941489999997,17760
424,MYCTH_2303459,30959.0608,56046
425,MYCTH_2301421,30962.65905,61405
426,MYCTH_2296504,30991.145210000002,36017
427,MYCTH_2311792,31034.923939999997,92261
428,MYCTH_47844,31036.72307,72391
429,MYCTH_2112958,31124.88025,26163
430,MYCTH_71484,31125.1801,51115
431,MYCTH_2309909,31247.820519999997,77133
432,MYCTH_2301765,31263.7128,10554
433,MYCTH_2303364,31317.986439999997,41191
434,MYCTH_2302391,31393.24988,41281
435,MYCTH_2306388,31413.81989,96833
436,MYCTH_117206,31601.198860000004,38618
437,MYCTH_2300159,31623.23816,81131
438,MYCTH_2308922,31718.29198,86443
439,MYCTH_2311282,31789.957169999998,39667
440,MYCTH_2299495,31799.25265,30754
441,MYCTH_2089196,31811.54668,88916
442,MYCTH_2305507,31992.058989999998,35318
443,MYCTH_2031061,32021.234819999998,35207
444,MYCTH_2297322,32052.92942,22879
445,MYCTH_79157,32126.69359,39508
446,MYCTH_2296914,32197.15936,66000
447,MYCTH_2306410,32214.25105,112173
448,MYCTH_2299288,32287.715369999998,36129
449,MYCTH_2295769,32294.61202,54179
450,MYCTH_2300119,32595.965630000002,21521
451,MYCTH_78048,32646.341160000004,39794
452,MYCTH_2293970,32712.90882,46968
453,MYCTH_2294805,32787.27269,17394
454,MYCTH_2310035,32843.34545,39617
455,MYCTH_2300974,32858.63803,78546
456,MYCTH_59388,32993.87233,63809
457,MYCTH_96869,33105.86793,84085
458,MYCTH_2313627,33253.24633,40333
459,MYCTH_2313145,33277.834389999996,58620
460,MYCTH_2294707,33434.65821,37943
461,MYCTH_2071301,33511.36095,88911
462,MYCTH_2308630,33525.21422,69214
463,MYCTH_2308551,33636.76003,40385
464,MYCTH_2308004,33642.45726,24005
465,MYCTH_2299297,33671.30325,59773
466,MYCTH_114738,33801.38006,28122
467,MYCTH_2310028,33807.22722,81050
468,MYCTH_114710,33844.34919,51672
469,MYCTH_2302215,33936.01466,64626
470,MYCTH_2311679,34009.77883,27964
471,MYCTH_2308682,34028.66965,118398
472,MYCTH_2306300,34094.93746,116137
473,MYCTH_105966,34256.88879,36318
474,MYCTH_2296462,34375.301269999996,10480
475,MYCTH_2304313,34427.17607,50400
476,MYCTH_2304622,34588.64763,199130
477,MYCTH_2312608,34601.09158,80949
478,MYCTH_2299553,34731.28834,58924
479,MYCTH_2304243,34804.69268,69455
480,MYCTH_2299064,34820.88481,77194
481,MYCTH_2302465,34829.85046,25391
482,MYCTH_2312908,34906.76309,106632
483,MYCTH_2305972,34944.57473,138569
484,MYCTH_2304140,35081.758089999996,65390
485,MYCTH_112996,35084.45677,56737
486,MYCTH_2295851,35091.65328,18222
487,MYCTH_2297068,35098.16012,213474
488,MYCTH_89127,35189.58571,23566
489,MYCTH_2310757,35304.84971,32985
490,MYCTH_2296179,35318.343160000004,84972
491,MYCTH_2299657,35424.49159,81565
492,MYCTH_2299456,35457.385610000005,28451
493,MYCTH_2304273,35501.55416,28789
494,MYCTH_2298055,35644.58468,68168
495,MYCTH_2117839,35722.93662,43932
496,MYCTH_2304826,35762.12758,46563
497,MYCTH_2062193,36142.342880000004,117849
498,MYCTH_2295178,36184.92219,58481
499,MYCTH_2297116,36196.61651,39884
500,MYCTH_99435,36387.32387,42916
501,MYCTH_59946,36664.44925,59807
502,MYCTH_2305681,36874.287319999996,28028
503,MYCTH_93313,36891.97872,64900
504,MYCTH_2307332,36999.92628,41026
505,MYCTH_2306087,37148.95389,75729
506,MYCTH_2314437,37410.12702,17268
507,MYCTH_2309867,37431.41668,42526
508,MYCTH_2298524,37435.31478,20780
509,MYCTH_2308140,37465.57008,70238
510,MYCTH_2307463,37477.8941,36708
511,MYCTH_77970,37519.57385,64333
512,MYCTH_2295445,37590.33947,120129
513,MYCTH_2309758,37673.998830000004,84463
514,MYCTH_2141513,37684.19388,19872
515,MYCTH_2301054,37791.841589999996,31985
516,MYCTH_116006,38277.90547,41450
517,MYCTH_2305331,38332.179110000005,205917
518,MYCTH_2303936,38343.873419999996,85755
519,MYCTH_2312153,38414.33919,99603
520,MYCTH_2310833,38510.892289999996,80494
521,MYCTH_2301163,38933.35707,49773
522,MYCTH_2308197,38978.3652,39336
523,MYCTH_2309142,39395.2227,19958
524,MYCTH_2116644,39521.10155,34387
525,MYCTH_2300010,39627.24999,41891
526,MYCTH_2296595,39652.737610000004,54157
527,MYCTH_2091001,39990.373589999996,35737
528,MYCTH_2092861,40008.065,41805
529,MYCTH_2305458,40025.84636,96938
530,MYCTH_2294596,40191.276,67420
531,MYCTH_2313651,40224.22999,25754
532,MYCTH_2117078,40278.20377,95116
533,MYCTH_2141686,40294.126039999996,72586
534,MYCTH_2304925,40442.55393,30901
535,MYCTH_2310085,40608.07353,44985
536,MYCTH_2296049,40709.72415,38735
537,MYCTH_2135627,40714.22196,47196
538,MYCTH_2307261,40797.58147,94870
539,MYCTH_2298826,40944.21024,127370
540,MYCTH_112802,40992.18693,30468
541,MYCTH_2119403,41168.501280000004,74135
542,MYCTH_2306070,41186.49255,69811
543,MYCTH_2311364,41211.38046,102134
544,MYCTH_2308710,41396.990289999994,49787
545,MYCTH_2311805,41494.44295,13560
546,MYCTH_2066697,41512.82402,102747
547,MYCTH_2297119,41717.53458,63304
548,MYCTH_92919,41723.231810000005,55959
549,MYCTH_2297751,41891.65999,145043
550,MYCTH_2295039,42016.78921,11212
551,MYCTH_2093740,42061.4675,61955
552,MYCTH_113138,42195.502389999994,73733
553,MYCTH_2311080,42280.81095,52028
554,MYCTH_2311890,42374.51543,140977
555,MYCTH_2305849,42414.39606,99501
556,MYCTH_2299068,42493.85746,21301
557,MYCTH_2307473,42526.24173,43498
558,MYCTH_2302030,42576.61725,29206
559,MYCTH_2301019,42747.83408,39994
560,MYCTH_2312088,42944.53853,89268
561,MYCTH_2296687,42971.22556,21406
562,MYCTH_2303593,43084.03076,64252
563,MYCTH_2311447,43107.05958,48899
564,MYCTH_2314483,43167.3303,8106
565,MYCTH_2314125,43397.01872,41329
566,MYCTH_2299749,43466.2251,69130
567,MYCTH_2309805,43596.90162,65197
568,MYCTH_2296939,43843.20198,40825
569,MYCTH_104959,43861.13327,94388
570,MYCTH_2300799,43929.76992,101416
571,MYCTH_2305012,43978.13643,93037
572,MYCTH_2309354,43989.83075,168020
573,MYCTH_2302160,44035.408610000006,23680
574,MYCTH_2311279,44061.79579,67565
575,MYCTH_2298874,44150.462719999996,76109
576,MYCTH_2301916,44333.85363,85501
577,MYCTH_2304820,44501.98795,127149
578,MYCTH_2141082,44604.23229,76032
579,MYCTH_2306898,44624.62238,30864
580,MYCTH_2304303,45084.56895,60217
581,MYCTH_2302133,45147.8682,109991
582,MYCTH_2314413,45235.72552,27100
583,MYCTH_2309609,45334.3776,30050
584,MYCTH_70376,45542.17665,29556
585,MYCTH_2301899,45731.98445,42376
586,MYCTH_2296965,45842.24089,47272
587,MYCTH_2295903,46008.45015,27938
588,MYCTH_2299773,46244.13566,51519
589,MYCTH_2298329,46350.8838,17845
590,MYCTH_2306632,46418.95074,42217
591,MYCTH_2304124,46695.11658,44695
592,MYCTH_2307051,46877.63792,32658
593,MYCTH_2294525,47372.39757,194134
594,MYCTH_2307846,47411.76845,61061
595,MYCTH_2124996,47487.331739999994,82063
596,MYCTH_2134470,47496.32737,106702
597,MYCTH_88392,47695.43065,11686
598,MYCTH_2297763,47720.37853,28118
599,MYCTH_75351,47868.20672,854798
600,MYCTH_2310394,48156.876489999995,37589
601,MYCTH_2303666,48217.3871,114203
602,MYCTH_79542,48337.65867,49509
603,MYCTH_2302072,48421.07815,81453
604,MYCTH_2306913,48555.11304,108494
605,MYCTH_2057861,48790.49869,20091
606,MYCTH_2295397,48904.59327,16490
607,MYCTH_65705,48916.185639999996,96093
608,MYCTH_2055659,49066.81447,21440
609,MYCTH_2296376,49089.15361,53404
610,MYCTH_2304543,49200.39957,32306
611,MYCTH_2298482,49669.0719,37031
612,MYCTH_2312423,49676.358360000006,86870
613,MYCTH_2297483,49813.601689999996,162096
614,MYCTH_2305513,49940.14022,43618
615,MYCTH_2313117,49956.932069999995,36777
616,MYCTH_2303662,50323.74388,63977
617,MYCTH_2295207,50324.55348,21714
618,MYCTH_2304860,50352.73979,69199
619,MYCTH_79619,50357.53746,76491
620,MYCTH_2090930,50368.33222,23197
621,MYCTH_2312519,50716.76296,20016
622,MYCTH_2294213,50755.77401,242784
623,MYCTH_40920,50954.6374,82280
624,MYCTH_2302305,51107.713039999995,37380
625,MYCTH_78277,51226.51533,98597
626,MYCTH_107142,51270.8338,85203
627,MYCTH_2309205,51316.47163,14447
628,MYCTH_2304698,51446.00871,53617
629,MYCTH_2303321,51986.676060000005,42756
630,MYCTH_117406,52046.9168,20859
631,MYCTH_2300265,52076.00267,14824
632,MYCTH_2293953,52088.89641,40240
633,MYCTH_50083,52320.983660000005,54221
634,MYCTH_2309088,52374.56763,65661
635,MYCTH_2294558,52911.696710000004,54066
636,MYCTH_2298129,52953.076610000004,19381
637,MYCTH_2294587,53111.30974,104010
638,MYCTH_2297783,53115.59766,127667
639,MYCTH_2297042,53228.22295,135459
640,MYCTH_95811,53292.9615,31137
641,MYCTH_2304628,53306.604869999996,36003
642,MYCTH_2294008,53445.43743,19945
643,MYCTH_2301391,53588.46795,24869
644,MYCTH_2309174,53668.2292,38895
645,MYCTH_2297656,54096.87097999999,119333
646,MYCTH_2295624,54172.40429,112987
647,MYCTH_2307336,54203.4692,17150
648,MYCTH_2315933,54422.36286,33593
649,MYCTH_2301088,54572.88974,56150
650,MYCTH_122939,54625.36425,41609
